09:30:00
77763722,Farfan/Salazar/Margot,09:32:27,161.43
89314225,Rios/Durand/Carlos Edilberto,09:35:07,227.39
23842717,Henriquez/Espino/Beatriz,09:37:36,370.69
35297848,Astete/Chang/Guida,09:38:39,21.00
73357516,Trigueros/Jugo/Luz,09:44:33,311.31
50449903,Florian/Morales/Ydali,09:48:41,488.11
66811104,Pasquel/Quio/Surami Janet,09:49:28,193.02
53566003,Cabrera/Canales/Guillermo Edric,09:52:41,420.26
47844324,Vilca/Lee/Nestor Hugo,10:02:26,282.38
48878256,Raffo/Coronado/Rolando,10:04:22,367.64
46923852,Hijar/Pairazaman/Jenny Delicia,10:05:29,490.33
59121560,Lozada/Yino/Martha,10:12:56,363.21
71832810,Sueldo/Sedano/Adria,10:22:34,370.96
84074583,Coronel/Chumpitaz/Heli,10:27:12,180.49
71180497,Portugal/Benavente/Johana Gloria,10:30:07,241.37
38362262,Coronado/Figueroa/Johan,10:31:43,417.69
26522329,Sanchez/Del_Castillo/Fiorella Rosario,10:32:10,461.05
29851973,Cortez/Segura/Carmela Ines,10:37:46,476.64
13219606,Rodriguez/Moreno/Blanca Ofelia,10:40:02,171.10
68167636,Landeo/Sueldo/Adolfo,10:41:17,466.57
48450395,Ramirez/Astete/Karina Estefania,10:43:10,212.40
45043076,Vega/Vilcara/Carmela Teresa,10:47:04,311.65
32090869,Sueldo/Antezano/Luis Jesus,10:50:02,202.80
68310808,Cano/Polo/Milagros Isabel,10:50:27,144.83
88854166,Pinto/Rojas/Juvenal Francisco,10:50:43,30.32
88000134,Ruiz/Gordillo/Carola Erika,10:52:07,358.13
66849703,Mercado/Coronel/Elia,10:55:44,105.06
68369891,Laura/Wong/Melvin Henrry,10:58:21,221.88
97849227,Prado/Espinoza/Milagros,10:58:59,438.74
63736112,Zamora/Zavaleta/Ronal Manuel,11:00:29,340.00
77982722,Justino/Cruz/Williams,11:01:02,62.10
54141214,Durand/Miranda/Miguel Juan,11:02:05,6.41
71457094,Arca/Amezquita/Edric Ronald,11:08:05,492.81
60422425,Palomares/Vera/Henrry Humberto,11:08:06,137.78
62504139,Calixto/Tomasiche/Monica Doris,11:11:35,358.50
38004399,Auris/Zimic/Javier Daniel Luis,11:14:34,29.16
75945248,Mejia/Rodriguez/Ines Valentina,11:17:22,391.24
53853385,Solis/Narvaez/Maria Madeleine,11:26:21,5.37
64208029,Gavidia/Mendoza/Ronald Johnny,11:29:05,24.46
62004867,Caro/Polo/Sandro,11:30:29,426.75
27185429,Solis/Chung/Rolando,11:34:44,157.48
80310768,Minaya/Berrocal/Heli,11:39:49,87.77
16477908,Baca/Camacho/Milagros Natalia,11:45:48,176.39
79766395,Fuentes/Escalante/Patricia Elizabeth,11:49:06,392.86
40237708,Vega/Munoz/Gonzalo,11:50:01,206.75
69494747,Mendoza/Romero/Virginia Ydali,11:51:41,407.84
60335381,Diaz/Tang/Enrique,11:52:32,417.54
35912665,Martinez/Cruz/Evert Rony,11:55:40,407.37
76083813,Zarate/Del_Pozo/Humberto Antonio,12:03:36,470.24
48175022,Alamo/Pairazaman/Miguel Roberto,12:06:39,82.56
58992942,Narvaez/Castillo/Jesus Rafael,12:07:08,467.17
84186239,Rivero/Coronado/Hector Alonso,12:09:06,151.31
94149989,Antezano/Segura/Teresa Delia,12:10:48,146.05
17709280,Moya/Aranda/Johnny,12:14:22,119.77
31107104,Moscoso/Arias/Fiorella,12:21:22,391.70
48528209,Zavaleta/Coronado/Felicita Eloisa,12:24:08,199.25
14467310,Paredes/Patino/Christian,12:29:41,468.01
15029228,Valverde/Maeireizo/Melvin Jair,12:30:16,23.35
86577817,Morales/Valverde/Ines Martha,12:30:25,401.52
