90775,124,Las demoliciones de Paris,NORABUENA/PAIRAZAMAN/JULIAN,Francia
36466,688,El Duque en su territorio,MAEIREIZO/VASQUEZ/LOURDES SILVIA,EEUU
4066,124,Las demoliciones de Paris,NORABUENA/PAIRAZAMAN/JULIAN,Francia
66377,124,Las demoliciones de Paris,NORABUENA/PAIRAZAMAN/JULIAN,Francia
44573,456,La Peau de chagrin,GONZALES/VELASQUEZ/WALTER,Francia
7882,480,El Manuscrito del Domino,LARRIEGA/ARCA/ISABEL MADELEINE,EEUU
7882,124,Las demoliciones de Paris,NORABUENA/PAIRAZAMAN/JULIAN,Francia
7882,324,Le Chef doeuvre inconnu,MALCA/SAAVEDRA/DORIS MILAGROS,Peru
17572,456,La Peau de chagrin,GONZALES/VELASQUEZ/WALTER,Francia
69791,480,El Manuscrito del Domino,LARRIEGA/ARCA/ISABEL MADELEINE,EEUU
81789,456,La Peau de chagrin,GONZALES/VELASQUEZ/WALTER,Francia
23604,897,L ecole des menages,MALDONADO/CORREA/LUCERO CAROLA,EEUU
26685,224,Elogio de la madrastra,CASANOVA/CHUMPITAZ/ALONSO,Portugal
9570,461,Le Cousin Pons,PRADO/PAREDES/JUAN,Costa Rica
8246,263,La Cousine Bette,ZIMIC/PAREDES/SHIRLEY,Costa Rica
23387,224,Elogio de la madrastra,CASANOVA/CHUMPITAZ/ALONSO,Portugal
23822,461,Le Cousin Pons,PRADO/PAREDES/JUAN,Costa Rica
9248,456,La Peau de chagrin,GONZALES/VELASQUEZ/WALTER,Francia
4341,798,An Ideal Husband,SOMA/INGA/DIALY,Francia
5159,458,Historia de Mayta,WONG/GALLO/JANET MADELEINE,EEUU
62100,224,Elogio de la madrastra,CASANOVA/CHUMPITAZ/ALONSO,Portugal
2506,833,The Nutcracker,ESCALANTE/RARAZ/BLANCA,Peru
1677,499,Le Colonel Chabert,FARFAN/RARAZ/WALDEMAR,Peru
4399,833,The Nutcracker,ESCALANTE/RARAZ/BLANCA,Peru
5882,274,Musica para camaleones,MIRANDA/LARRIEGA/JUVENAL NESTOR,EEUU
4341,456,La Peau de chagrin,GONZALES/VELASQUEZ/WALTER,Francia
97172,456,La Peau de chagrin,GONZALES/VELASQUEZ/WALTER,Francia
49619,324,Le Chef doeuvre inconnu,MALCA/SAAVEDRA/DORIS MILAGROS,Peru
67560,545,El Club de los explotadores,TAVERA/CORREA/FERNANDO,Portugal
98828,833,The Nutcracker,ESCALANTE/RARAZ/BLANCA,Peru
4341,224,Elogio de la madrastra,CASANOVA/CHUMPITAZ/ALONSO,Portugal
6453,970,Suspense,CORRALES/ZIMIC/JAIME DANIEL,Costa Rica
81789,979,Una Navidad,CABRERA/AGUERO/JESSICA,EEUU
4066,480,El Manuscrito del Domino,LARRIEGA/ARCA/ISABEL MADELEINE,EEUU
5117,458,Historia de Mayta,WONG/GALLO/JANET MADELEINE,EEUU
52680,499,Le Colonel Chabert,FARFAN/RARAZ/WALDEMAR,Peru
3309,798,An Ideal Husband,SOMA/INGA/DIALY,Francia
36466,324,Le Chef doeuvre inconnu,MALCA/SAAVEDRA/DORIS MILAGROS,Peru
40825,124,Las demoliciones de Paris,NORABUENA/PAIRAZAMAN/JULIAN,Francia
52106,274,Musica para camaleones,MIRANDA/LARRIEGA/JUVENAL NESTOR,EEUU
2489,545,El Club de los explotadores,TAVERA/CORREA/FERNANDO,Portugal
52106,688,El Duque en su territorio,MAEIREIZO/VASQUEZ/LOURDES SILVIA,EEUU
2160,837,The Countess de Charny,JAUREGUI/AGUERO/HECTOR HENRY,Peru
9248,688,El Duque en su territorio,MAEIREIZO/VASQUEZ/LOURDES SILVIA,EEUU
62100,225,La hermosa jardinera,CUBA/NARVAEZ/PAUL JOHN,EEUU
7882,979,Una Navidad,CABRERA/AGUERO/JESSICA,EEUU
9248,158,House of Pomegranates,DEL/POZO/ISABEL JUGO,Peru
2489,897,L ecole des menages,MALDONADO/CORREA/LUCERO CAROLA,EEUU
2160,461,Le Cousin Pons,PRADO/PAREDES/JUAN,Costa Rica
6939,224,Elogio de la madrastra,CASANOVA/CHUMPITAZ/ALONSO,Portugal
2160,224,Elogio de la madrastra,CASANOVA/CHUMPITAZ/ALONSO,Portugal
3442,225,La hermosa jardinera,CUBA/NARVAEZ/PAUL JOHN,EEUU
23822,979,Una Navidad,CABRERA/AGUERO/JESSICA,EEUU
98828,798,An Ideal Husband,SOMA/INGA/DIALY,Francia
98202,274,Musica para camaleones,MIRANDA/LARRIEGA/JUVENAL NESTOR,EEUU
8246,798,An Ideal Husband,SOMA/INGA/DIALY,Francia
1526,225,La hermosa jardinera,CUBA/NARVAEZ/PAUL JOHN,EEUU
23604,837,The Countess de Charny,JAUREGUI/AGUERO/HECTOR HENRY,Peru
97172,263,La Cousine Bette,ZIMIC/PAREDES/SHIRLEY,Costa Rica
7539,225,La hermosa jardinera,CUBA/NARVAEZ/PAUL JOHN,EEUU
7882,225,La hermosa jardinera,CUBA/NARVAEZ/PAUL JOHN,EEUU
4341,458,Historia de Mayta,WONG/GALLO/JANET MADELEINE,EEUU
8246,124,Las demoliciones de Paris,NORABUENA/PAIRAZAMAN/JULIAN,Francia
36466,456,La Peau de chagrin,GONZALES/VELASQUEZ/WALTER,Francia
2519,225,La hermosa jardinera,CUBA/NARVAEZ/PAUL JOHN,EEUU
78376,897,L ecole des menages,MALDONADO/CORREA/LUCERO CAROLA,EEUU
79138,263,La Cousine Bette,ZIMIC/PAREDES/SHIRLEY,Costa Rica
1639,970,Suspense,CORRALES/ZIMIC/JAIME DANIEL,Costa Rica
26685,158,House of Pomegranates,DEL/POZO/ISABEL JUGO,Peru
77257,225,La hermosa jardinera,CUBA/NARVAEZ/PAUL JOHN,EEUU
6939,225,La hermosa jardinera,CUBA/NARVAEZ/PAUL JOHN,EEUU
5751,970,Suspense,CORRALES/ZIMIC/JAIME DANIEL,Costa Rica
66377,158,House of Pomegranates,DEL/POZO/ISABEL JUGO,Peru
98202,970,Suspense,CORRALES/ZIMIC/JAIME DANIEL,Costa Rica
52680,224,Elogio de la madrastra,CASANOVA/CHUMPITAZ/ALONSO,Portugal
6453,837,The Countess de Charny,JAUREGUI/AGUERO/HECTOR HENRY,Peru
3442,499,Le Colonel Chabert,FARFAN/RARAZ/WALDEMAR,Peru
6113,274,Musica para camaleones,MIRANDA/LARRIEGA/JUVENAL NESTOR,EEUU
7539,461,Le Cousin Pons,PRADO/PAREDES/JUAN,Costa Rica
49619,458,Historia de Mayta,WONG/GALLO/JANET MADELEINE,EEUU
1677,837,The Countess de Charny,JAUREGUI/AGUERO/HECTOR HENRY,Peru
1639,897,L ecole des menages,MALDONADO/CORREA/LUCERO CAROLA,EEUU
